date,VXAZN,VIX9D,VIX,VXAPL
1990-01-02,37.29,16.06,17.24,31.57
1990-01-03,37.29,16.06,18.19,31.57
1990-01-04,37.29,16.06,19.22,31.57
1990-01-05,37.29,16.06,20.11,31.57
1990-01-08,37.29,16.06,20.26,31.57
1990-01-09,37.29,16.06,22.2,31.57
1990-01-10,37.29,16.06,22.44,31.57
1990-01-11,37.29,16.06,20.05,31.57
1990-01-12,37.29,16.06,24.64,31.57
1990-01-15,37.29,16.06,26.34,31.57
1990-01-16,37.29,16.06,24.18,31.57
1990-01-17,37.29,16.06,24.16,31.57
1990-01-18,37.29,16.06,24.34,31.57
1990-01-19,37.29,16.06,22.5,31.57
1990-01-22,37.29,16.06,26.7,31.57
1990-01-23,37.29,16.06,24.72,31.57
1990-01-24,37.29,16.06,25.39,31.57
1990-01-25,37.29,16.06,25.63,31.57
1990-01-26,37.29,16.06,26.28,31.57
1990-01-29,37.29,16.06,26.44,31.57
1990-01-30,37.29,16.06,27.25,31.57
1990-01-31,37.29,16.06,25.36,31.57
1990-02-01,37.29,16.06,24.87,31.57
1990-02-02,37.29,16.06,24.32,31.57
1990-02-05,37.29,16.06,24.54,31.57
1990-02-06,37.29,16.06,24.69,31.57
1990-02-07,37.29,16.06,24.29,31.57
1990-02-08,37.29,16.06,23.77,31.57
1990-02-09,37.29,16.06,23.69,31.57
1990-02-12,37.29,16.06,24.38,31.57
1990-02-13,37.29,16.06,23.76,31.57
1990-02-14,37.29,16.06,22.05,31.57
1990-02-15,37.29,16.06,19.71,31.57
1990-02-16,37.29,16.06,20.78,31.57
1990-02-20,37.29,16.06,22.78,31.57
1990-02-21,37.29,16.06,23.89,31.57
1990-02-22,37.29,16.06,22.54,31.57
1990-02-23,37.29,16.06,23.69,31.57
1990-02-26,37.29,16.06,23.56,31.57
1990-02-27,37.29,16.06,22.69,31.57
1990-02-28,37.29,16.06,21.99,31.57
1990-03-01,37.29,16.06,21.9,31.57
1990-03-02,37.29,16.06,21.34,31.57
1990-03-05,37.29,16.06,22.03,31.57
1990-03-06,37.29,16.06,20.55,31.57
1990-03-07,37.29,16.06,19.1,31.57
1990-03-08,37.29,16.06,19.74,31.57
1990-03-09,37.29,16.06,20.3,31.57
1990-03-12,37.29,16.06,20.07,31.57
1990-03-13,37.29,16.06,21.05,31.57
1990-03-14,37.29,16.06,19.65,31.57
1990-03-15,37.29,16.06,18.81,31.57
1990-03-16,37.29,16.06,17.62,31.57
1990-03-19,37.29,16.06,18.29,31.57
1990-03-20,37.29,16.06,19.06,31.57
1990-03-21,37.29,16.06,20.1,31.57
